order_id,customer,amount,status
ORD-2000,vandelay,413.84,paid
ORD-2001,initech,447.59,pending
ORD-2002,soylent,429.86,paid
ORD-2003,initech,151.46,paid
ORD-2004,globex,77.52,paid
ORD-2005,initech,73.50,paid
ORD-2006,globex,125.76,paid
ORD-2007,hooli,248.44,pending
ORD-2008,hooli,443.80,paid
ORD-2009,globex,248.94,paid
ORD-2010,acme,327.15,paid
ORD-2011,hooli,327.11,paid
ORD-2012,globex,170.29,pending
ORD-2013,globex,63.16,paid
ORD-2014,soylent,315.58,paid
ORD-2015,vandelay,126.92,paid
ORD-2016,soylent,390.20,paid
ORD-2017,vandelay,298.67,paid
ORD-2018,hooli,313.15,paid
ORD-2019,globex,158.63,paid
