order_id,customer,amount,status
ORD-3000,initech,218.00,paid
ORD-3001,umbrella,156.61,paid
ORD-3002,soylent,176.64,pending
ORD-3003,globex,146.93,paid
ORD-3004,initech,190.06,paid
ORD-3005,soylent,48.42,paid
ORD-3006,initech,466.05,paid
ORD-3007,hooli,442.79,paid
ORD-3008,globex,165.90,paid
ORD-3009,umbrella,72.64,paid
ORD-3010,soylent,377.54,paid
ORD-3011,hooli,50.76,pending
ORD-3012,umbrella,158.94,paid
ORD-3013,initech,327.77,paid
ORD-3014,globex,180.03,paid
ORD-3015,initech,36.12,pending
ORD-3016,acme,416.67,refunded
ORD-3017,hooli,455.81,paid
ORD-3018,hooli,81.76,pending
ORD-3019,initech,369.78,refunded
