order_id,customer,amount,status
ORD-1000,acme,134.22,paid
ORD-1001,hooli,189.26,paid
ORD-1002,soylent,134.54,paid
ORD-1003,acme,95.55,paid
ORD-1004,umbrella,350.09,paid
ORD-1005,soylent,55.14,pending
ORD-1006,initech,296.13,paid
ORD-1007,acme,118.61,refunded
ORD-1008,globex,396.85,pending
ORD-1009,soylent,257.89,paid
ORD-1010,umbrella,321.45,paid
ORD-1011,initech,13.99,refunded
ORD-1012,hooli,339.44,paid
ORD-1013,vandelay,494.44,paid
ORD-1014,globex,235.74,paid
ORD-1015,globex,471.84,pending
ORD-1016,soylent,341.76,paid
ORD-1017,soylent,441.08,paid
ORD-1018,acme,199.21,refunded
ORD-1019,vandelay,379.79,paid
