order_id,customer,amount,status
ORD-4000,hooli,275.30,paid
ORD-4001,globex,139.83,paid
ORD-4002,vandelay,331.58,paid
ORD-4003,initech,97.35,refunded
ORD-4004,umbrella,92.52,paid
ORD-4005,vandelay,319.52,refunded
ORD-4006,umbrella,397.35,paid
ORD-4007,soylent,445.23,paid
ORD-4008,initech,122.26,refunded
ORD-4009,vandelay,192.47,paid
ORD-4010,initech,388.28,refunded
ORD-4011,umbrella,395.46,paid
ORD-4012,vandelay,478.10,paid
ORD-4013,initech,322.01,refunded
ORD-4014,hooli,496.10,paid
ORD-4015,hooli,206.00,paid
ORD-4016,acme,30.29,paid
ORD-4017,initech,454.50,paid
ORD-4018,globex,96.60,paid
ORD-4019,umbrella,13.59,paid
